duration,protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,serror_rate,label
0.0,tcp,ftp_data,SF,491.0,0.0,2.0,2.0,0.0,normal
0.0,udp,other,SF,146.0,0.0,13.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,123.0,6.0,1.0,neptune
0.0,tcp,http,SF,232.0,8153.0,5.0,5.0,0.2,normal
0.0,tcp,http,SF,199.0,420.0,30.0,32.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,121.0,19.0,0.0,neptune
0.0,tcp,private,S0,0.0,0.0,166.0,9.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,117.0,16.0,1.0,neptune
0.0,tcp,remote_job,S0,0.0,0.0,270.0,23.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,133.0,8.0,1.0,neptune
0.0,tcp,private,REJ,0.0,0.0,205.0,12.0,0.0,neptune
0.0,tcp,private,S0,0.0,0.0,199.0,3.0,1.0,neptune
0.0,tcp,http,SF,287.0,2251.0,3.0,7.0,0.0,normal
0.0,tcp,ftp_data,SF,334.0,0.0,2.0,2.0,0.0,warezclient
0.0,tcp,name,S0,0.0,0.0,233.0,1.0,1.0,neptune
0.0,tcp,netbios_ns,S0,0.0,0.0,96.0,16.0,1.0,neptune
0.0,tcp,http,SF,300.0,13788.0,8.0,9.0,0.0,normal
0.0,icmp,eco_i,SF,18.0,0.0,1.0,1.0,0.0,ipsweep
0.0,tcp,http,SF,233.0,616.0,3.0,3.0,0.0,normal
0.0,tcp,http,SF,343.0,1178.0,9.0,10.0,0.0,normal
0.0,tcp,mtp,S0,0.0,0.0,223.0,23.0,1.0,neptune
0.0,tcp,private,S0,0.0,0.0,280.0,17.0,1.0,neptune
0.0,tcp,http,SF,253.0,11905.0,8.0,10.0,0.0,normal
5607.0,udp,other,SF,147.0,105.0,1.0,1.0,0.0,normal
0.0,tcp,mtp,S0,0.0,0.0,248.0,2.0,1.0,neptune
507.0,tcp,telnet,SF,437.0,14421.0,1.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,279.0,7.0,1.0,neptune
0.0,tcp,http,SF,227.0,6588.0,5.0,22.0,0.0,normal
0.0,tcp,http,SF,215.0,10499.0,14.0,14.0,0.0,normal
0.0,tcp,http,SF,241.0,1400.0,33.0,33.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,12.0,0.0,ipsweep
0.0,tcp,finger,S0,0.0,0.0,57.0,16.0,1.0,neptune
0.0,tcp,http,SF,303.0,555.0,9.0,9.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,2.0,1.0,0.0,portsweep
0.0,udp,domain_u,SF,45.0,45.0,181.0,181.0,0.0,normal
1.0,udp,private,SF,105.0,147.0,2.0,2.0,0.0,normal
0.0,udp,domain_u,SF,43.0,43.0,122.0,202.0,0.0,normal
0.0,tcp,supdup,S0,0.0,0.0,205.0,17.0,1.0,neptune
0.0,tcp,http,SF,324.0,2302.0,22.0,28.0,0.0,normal
0.0,tcp,uucp_path,S0,0.0,0.0,228.0,13.0,1.0,neptune
0.0,tcp,ftp_data,S0,0.0,0.0,50.0,11.0,1.0,neptune
0.0,tcp,Z39_50,S0,0.0,0.0,262.0,12.0,1.0,neptune
2.0,tcp,smtp,SF,1591.0,372.0,1.0,2.0,0.0,normal
9052.0,udp,other,SF,146.0,105.0,4.0,2.0,0.0,normal
0.0,tcp,http,SF,290.0,3006.0,11.0,11.0,0.0,normal
0.0,tcp,csnet_ns,S0,0.0,0.0,108.0,11.0,1.0,neptune
0.0,udp,private,SF,28.0,0.0,80.0,80.0,0.0,teardrop
0.0,tcp,http,SF,255.0,861.0,44.0,44.0,0.02,normal
0.0,tcp,ftp_data,SF,334.0,0.0,2.0,2.0,0.0,warezclient
0.0,tcp,ftp_data,S0,0.0,0.0,258.0,17.0,1.0,neptune
0.0,tcp,http,SF,302.0,498.0,10.0,10.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,61.0,4.0,0.0,neptune
0.0,udp,private,SF,28.0,0.0,2.0,2.0,0.0,teardrop
0.0,tcp,http,SF,220.0,1398.0,26.0,42.0,0.0,normal
0.0,udp,domain_u,SF,43.0,69.0,120.0,120.0,0.0,normal
0.0,udp,domain_u,SF,44.0,133.0,73.0,75.0,0.0,normal
0.0,icmp,eco_i,SF,8.0,0.0,1.0,15.0,0.0,nmap
0.0,tcp,uucp,S0,0.0,0.0,135.0,9.0,1.0,neptune
0.0,tcp,finger,S0,0.0,0.0,24.0,12.0,1.0,neptune
0.0,udp,domain_u,SF,43.0,43.0,148.0,228.0,0.0,normal
0.0,tcp,ftp_data,SF,641.0,0.0,2.0,2.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,206.0,4.0,0.0,neptune
0.0,tcp,private,REJ,0.0,0.0,175.0,1.0,0.1,satan
0.0,tcp,http,SF,310.0,2794.0,4.0,4.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,63.0,10.0,0.0,neptune
0.0,tcp,smtp,SF,696.0,333.0,1.0,1.0,0.0,normal
0.0,tcp,netbios_dgm,RSTR,0.0,0.0,1.0,1.0,0.0,portsweep
0.0,tcp,http,S0,0.0,0.0,52.0,19.0,1.0,neptune
0.0,tcp,netbios_dgm,REJ,0.0,0.0,125.0,7.0,0.0,neptune
0.0,tcp,supdup,S0,0.0,0.0,168.0,21.0,1.0,neptune
0.0,tcp,http,SF,221.0,2878.0,1.0,1.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,145.0,16.0,1.0,neptune
0.0,icmp,urp_i,SF,181.0,0.0,3.0,2.0,0.0,normal
0.0,udp,domain_u,SF,42.0,42.0,9.0,14.0,0.0,normal
0.0,tcp,private,S0,0.0,0.0,138.0,6.0,1.0,neptune
0.0,tcp,ftp_data,SF,12.0,0.0,1.0,1.0,0.0,normal
0.0,tcp,auth,S0,0.0,0.0,276.0,9.0,1.0,neptune
0.0,tcp,http,SF,210.0,2790.0,10.0,27.0,0.0,normal
0.0,tcp,http,SF,321.0,5683.0,10.0,10.0,0.0,normal
0.0,tcp,private,REJ,0.0,0.0,248.0,8.0,0.0,neptune
0.0,tcp,http,SF,329.0,3982.0,2.0,31.0,0.0,normal
0.0,tcp,uucp_path,REJ,0.0,0.0,135.0,7.0,0.0,neptune
